masked ids,mother_income_cat,household_income_cat,accommodation_cat,Child_ethnicity_merged,mother_highest_education_cat,child.s_sex_binary,mother_age_recruitment
S00158,NA,NA,NA,NA,NA,NA,NA
S00410,NA,NA,NA,NA,NA,NA,NA
S00283,NA,NA,NA,NA,NA,NA,NA
S00333,NA,NA,NA,NA,NA,NA,NA
S00357,NA,NA,NA,NA,NA,NA,NA
S00172,NA,NA,NA,NA,NA,NA,NA
S00285,NA,NA,NA,1,3,1,NA
S00274,NA,NA,NA,1,6,1,NA
S00237,NA,NA,NA,1,3,1,NA
S00133,NA,NA,NA,1,3,0,NA
S00139,NA,NA,NA,1,6,1,NA
S00067,NA,NA,NA,2,4,1,NA
S00136,NA,NA,NA,1,5,1,NA
S00040,NA,NA,NA,1,3,1,NA
S00153,NA,NA,NA,1,5,1,NA
S00051,NA,NA,NA,1,5,0,NA
S00264,NA,NA,NA,1,3,1,NA
S00162,NA,NA,NA,1,6,0,NA
S00218,NA,NA,NA,1,6,0,NA
S00352,NA,NA,NA,1,5,1,NA
S00081,NA,NA,NA,1,5,0,NA
S00134,NA,NA,NA,1,6,1,NA
S00355,NA,NA,NA,1,5,0,NA
S00088,NA,NA,NA,3,6,1,NA
S00054,NA,NA,NA,1,5,1,NA
S00318,NA,NA,NA,1,5,1,NA
S00180,2,3,3,1,5,0,28.08
S00025,2,3,3,1,3,1,39.61
S00282,2,4,3,1,5,0,27.35
S00223,3,3,2,2,5,0,28.99
S00322,1,3,2,3,6,0,30.78
S00114,3,5,3,1,6,1,30.25
S00017,1,2,2,1,3,0,20.4
S00215,NA,NA,1,3,6,1,31.37
S00365,1,2,3,1,5,0,21.67
S00247,1,5,5,1,6,0,39.25
S00095,2,NA,3,2,2,0,23.24
S00101,3,4,3,1,6,0,29.43
S00340,2,3,3,2,3,1,24.17
S00092,4,5,3,1,5,1,38.57
S00288,2,3,2,2,5,1,26.21
S00112,3,4,2,2,5,0,40.03
S00380,3,5,6,1,3,1,28.05
S00205,1,2,2,1,3,0,26.29
S00391,2,NA,2,1,3,1,27.59
S00227,3,5,3,2,6,1,24.73
S00263,NA,4,2,3,6,0,30.28
S00372,1,2,3,2,3,0,42.87
S00036,5,5,5,1,6,1,32.87
S00330,2,4,3,3,5,1,33.32
S00107,2,3,3,2,5,0,29.4
S00221,3,5,5,1,6,0,32.77
S00241,3,5,3,2,5,1,30.92
S00116,5,5,5,1,6,1,29.18
S00035,3,5,5,1,5,1,33.78
S00057,2,3,3,1,4,1,29.9
S00141,3,4,2,1,6,1,32.48
S00325,4,5,3,3,6,1,39.36
S00295,3,4,3,1,6,0,29.69
S00397,3,4,5,1,6,1,27.81
S00144,2,3,3,2,3,1,28.67
S00060,3,4,3,1,6,0,30.06
S00004,3,5,2,1,5,0,38.79
S00289,3,4,2,1,6,1,30.66
S00048,2,3,7,3,5,0,36.47
S00250,3,5,2,1,6,1,29.79
S00045,3,5,3,1,5,0,36.2
S00299,4,5,3,1,6,0,30.55
S00194,1,3,3,2,3,1,38.46
S00169,1,1,2,2,3,1,24.78
S00230,2,5,3,1,5,1,26.29
S00008,3,5,3,1,6,1,29.91
S00175,4,5,3,1,6,1,36.45
S00069,2,3,2,1,5,1,34.62
S00082,1,2,3,1,3,1,36.92
S00007,4,5,3,1,6,1,32.71
S00216,2,3,4,2,4,1,32.02
S00130,2,3,2,1,3,0,29.94
S00181,3,5,3,1,5,0,33.5
S00076,NA,NA,3,1,6,0,33.31
S00404,3,3,3,NA,NA,1,28.73
S00037,3,5,3,1,5,0,32.77
S00202,1,2,2,1,2,0,28.75
S00152,1,2,3,2,4,1,27.58
S00146,4,5,3,1,6,0,31.56
S00275,NA,NA,2,1,5,0,35.37
S00108,1,4,3,3,6,0,30.37
S00127,2,3,3,2,2,0,36.72
S00401,4,5,3,1,6,0,40.24
S00269,1,3,4,3,3,1,25.28
S00251,3,5,2,1,6,0,41.44
S00115,3,5,5,1,6,1,29.73
S00222,2,3,4,1,3,1,37.57
S00244,1,4,3,1,2,0,34.64
S00214,3,5,3,1,6,1,27.88
S00022,4,5,3,3,6,1,29.02
S00123,1,4,2,1,6,0,37.14
S00225,4,5,4,3,6,0,30.59
S00018,1,5,3,3,6,1,32.55
S00020,3,5,2,1,6,1,30.37
S00300,3,5,3,1,6,0,26.92
S00276,5,5,4,1,6,0,37.97
S00261,3,5,5,3,6,1,39.98
S00056,5,5,4,1,6,0,33.87
S00177,4,5,3,1,5,1,32.56
S00122,1,3,3,2,3,1,40.28
S00099,2,3,3,2,4,1,25.6
S00055,2,4,3,2,5,0,21.26
S00302,2,5,3,1,6,0,31.54
S00334,3,5,3,1,6,1,28.92
S00053,3,5,3,1,6,1,27.73
S00006,3,5,3,1,6,0,29.54
S00147,1,5,3,1,6,0,34.38
S00085,4,5,3,NA,NA,1,31.29
S00393,1,5,1,3,6,1,30.76
S00096,3,4,3,1,3,0,34.47
S00219,4,5,3,1,5,1,34.63
S00370,3,5,3,1,6,0,31.55
S00098,3,5,4,3,6,1,27.11
S00046,1,3,3,1,5,1,29.28
S00145,NA,NA,NA,NA,NA,NA,NA
S00154,NA,NA,NA,NA,NA,NA,NA
S00178,NA,NA,NA,1,6,0,NA
S00335,NA,NA,NA,2,3,1,NA
S00103,NA,NA,NA,3,6,1,NA
S00373,NA,NA,NA,1,5,0,NA
S00119,NA,NA,NA,1,5,1,NA
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
