Masked IDs,PC1,PC2,PC3,PC4,PC5
S00040,0.0285259,-0.0287695,-0.00304627,-0.00213201,-0.00382933
S00153,0.0276045,-0.0356838,-0.00321231,0.0051602,-0.00307009
S00051,0.0281873,-0.0329959,0.000620512,0.00240586,0.00240045
S00264,0.0203119,-0.0131746,-0.0040942,0.00125987,-0.00835403
S00162,0.0300011,-0.0295616,-0.00209044,-0.000941313,0.00378966
S00218,0.029904,-0.0313271,-0.00144486,-8.57E-05,-0.00407937
S00352,0.0281637,-0.0314466,0.00716817,0.0061978,0.00546601
S00081,0.0246155,-0.0135821,-0.0134808,-0.00292312,-0.0134352
S00134,0.0283653,-0.030209,0.00337961,0.0167374,0.00136747
S00355,0.0287618,-0.0358118,-0.00149047,0.00418539,0.00181099
S00054,0.0205467,-0.0126655,-0.0037746,-0.00549009,0.00106574
S00318,0.030252,-0.0387103,0.00474881,0.000320663,0.0102935
S00180,0.0292151,-0.0182822,0.000500693,-0.00445758,-0.00109884
S00025,0.029055,-0.0203706,-0.00598842,0.0152248,0.00125314
S00282,0.029084,-0.0322512,-0.00383515,0.000182183,0.00798714
S00114,0.0261605,-0.0288413,0.00630452,0.00270768,0.00385639
S00017,0.0270248,-0.0177266,0.00513909,-0.00498546,-0.00791478
S00365,0.0304743,-0.0317883,0.000545248,0.00879292,0.00539132
S00247,0.0278482,-0.0325888,-0.00584097,-0.00601331,0.00208652
S00101,0.0297031,-0.0228296,-0.00433167,-0.00040046,0.00318978
S00092,0.0291905,-0.0307598,-0.00347114,0.000379716,-0.0085078
S00380,0.0281802,-0.0143406,-7.26E-05,-0.00356052,0.00368559
S00205,0.0298489,-0.0353491,0.00518677,0.00257993,0.00549445
S00391,0.0292061,-0.0211751,0.00372628,-0.00691077,0.00363255
S00036,0.0276979,-0.0210768,-0.0048019,-0.00694568,0.00138136
S00221,0.0261501,-0.0243171,0.00942852,0.00877386,0.00414852
S00116,0.029018,-0.0190449,-0.00103098,-0.0103285,0.000617053
S00035,0.0287612,-0.0364342,-0.00735577,0.00354057,0.0082395
S00057,0.0281923,-0.028029,-0.00271127,-0.00830263,0.000827226
S00141,0.0273254,-0.0399914,0.00401358,0.000761772,0.00226516
S00295,0.0293365,-0.0331402,-0.00236002,-0.0112811,0.00148673
S00397,0.0272296,-0.0167701,0.00311802,-0.00396072,0.00252525
S00060,0.0297014,-0.0275239,0.0058545,0.00703357,-0.00659203
S00004,0.0242346,-0.044604,-0.0030343,-0.00207595,0.00269066
S00289,0.0285672,-0.0344138,0.000641544,0.00118678,-0.00199932
S00250,0.0250771,-0.057574,-0.00191442,-0.00419617,0.00777796
S00045,0.0275818,-0.0319204,-2.04E-05,0.00392792,0.000125182
S00299,0.0278281,-0.021972,-0.00486927,0.00202545,0.00593219
S00230,0.0212373,-0.0532345,0.00840754,0.00448058,0.00825507
S00008,0.0225209,-0.0444404,0.000452319,-0.00486191,-0.00235577
S00175,0.0281037,-0.0302663,-9.76E-05,0.00677421,0.00705154
S00069,0.0279737,-0.0392127,-0.00389951,0.00593846,0.0037182
S00082,0.0297124,-0.0330471,0.00401035,0.0047849,0.00530193
S00007,0.0276146,-0.0357187,0.00705365,-0.0119492,-0.0138796
S00130,0.0296698,-0.0348993,-0.00162323,0.00476446,0.00704714
S00181,0.0290173,-0.0289324,0.00370005,-0.00321962,0.00390236
